DATA_FORMATADA,ID_JOGADOR,NOME_JOGADOR,ID_CLUBE,ID_MAO,ID_MESA,NOME_MESA,TIPO_MESA,ID_LIGA,TIPO_JOGO,GANHOS,RAKE
17/08/2025,1492829,OtisMalone,42904,850850280,37346582,Pursuit Straddle,6,111,Ring Game,-8.32,0.54
17/08/2025,1434022,Bulls4Bet,20443,850856656,37346582,Pursuit Straddle,6,127,Ring Game,-30.8,1.47
16/08/2025,1434022,Bulls4Bet,20443,850857463,37343205,Harmony Bomb DB(1),6,127,Ring Game,-2.8,0.14
16/08/2025,1434022,Bulls4Bet,20443,850858833,37344471,Pursuit 20bb % ANTE,6,127,Ring Game,-19.6,1.05
16/08/2025,1434022,Bulls4Bet,20443,850862083,37340805,Harmony ANTE,6,127,Ring Game,67.2,2.41
16/08/2025,1434022,Bulls4Bet,20443,850864990,37343205,Harmony Bomb DB(1),6,127,Ring Game,-2.8,0.17
12/08/2025,1492829,OtisMalone,42904,848003728,37238441,Pursuit 20bb % ANTE,6,111,Ring Game,-64,2.05
14/08/2025,1492829,OtisMalone,42904,849298600,37277729,Pursuit 35% ANTE,6,111,Ring Game,4.36,0.13
13/08/2025,1492829,OtisMalone,42904,848662174,37255831,Pursuit 20bb % ANTE,6,111,Ring Game,-4.48,0.14
12/08/2025,1434022,Bulls4Bet,20443,848118103,37235747,Harmony 20bb ANTE(2),6,127,Ring Game,-0.7,0.04
12/08/2025,1434022,Bulls4Bet,20443,848118106,37238441,Pursuit 20bb % ANTE,6,127,Ring Game,-19.6,0.35
12/08/2025,1434022,Bulls4Bet,20443,848118605,37235747,Harmony 20bb ANTE(2),6,127,Ring Game,-11.2,0.63
12/08/2025,1434022,Bulls4Bet,20443,848120497,37235747,Harmony 20bb ANTE(2),6,127,Ring Game,-0.7,0.04
12/08/2025,1434022,Bulls4Bet,20443,848120686,37238441,Pursuit 20bb % ANTE,6,127,Ring Game,-1.4,0.03
12/08/2025,1434022,Bulls4Bet,20443,848121688,37238731,Harmony 20bb % ANTE(1),6,127,Ring Game,-0.7,0.03
12/08/2025,1434022,Bulls4Bet,20443,848122774,37238731,Harmony 20bb % ANTE(1),6,127,Ring Game,-1.4,0.07
12/08/2025,1434022,Bulls4Bet,20443,848122205,37238731,Harmony 20bb % ANTE(1),6,127,Ring Game,-2.1,0.07
14/08/2025,1434022,Bulls4Bet,20443,849634739,37292426,Silver ANTE(1),6,127,Ring Game,-2.1,0.07
14/08/2025,1492829,OtisMalone,42904,849634810,37291385,Pursuit,6,111,Ring Game,0,0
14/08/2025,1434022,Bulls4Bet,20443,849638639,37292426,Silver ANTE(1),6,127,Ring Game,-6.3,0
14/08/2025,1434022,Bulls4Bet,20443,849640437,37292426,Silver ANTE(1),6,127,Ring Game,-2.1,0.14
