id-clube,nome-clube,id-liga,nome-liga
55220,PokerLeste,128,Suprema Union
37238,Clube Delta,106,Suprema
47660,Royalflush,128,Suprema Union
21783,MoneySharkSM,111,Suprema EU
53894,SX | As de France,173,Suprema SX USD
48762,SX | STORM FOUR,173,Suprema SX USD
22018,SX | UPBET,128,Suprema Union
39623,Poker Carneiros,213,Vulcao
53972,SX | FullBR,128,Suprema Union
54013,SX | ATASOP,128,Suprema Union
50822,SX l Marte,128,Suprema Union
19018,ELPROFE SOLES 🇵🇪,127,Suprema Peru
47658,Mediterrâneo,128,Suprema Union
20110,OURO POKER CLUB,128,Suprema Union
12281,Ganso Dourado 1,132,Suprema Asia
40846,Bahamas Poker,128,Suprema Union
32442,SX Poker 2,128,Suprema Union
52638,SX | Carvas,128,Suprema Union
26880,SX | PLAYGROUND,106,Suprema
52618,SX | Poker do Biro,128,Suprema Union
50183,SX | TUGAX,128,Suprema Union
46152,SX | Onset Poker,128,Suprema Union
53975,SX | Jaguar Poker,128,Suprema Union
19641,Blue Lemon,111,Suprema EU
47654,MonsterClub,128,Suprema Union
47659,Atlântico,128,Suprema Union
57049,SX | Only Pro Poker,128,Suprema Union
40588,SX | Green Poker,128,Suprema Union
2365356,Big Hit,107,Liga Principal
39619,SX | START PKR CLUB,128,Suprema Union
888777,Re-Stars,165,Re-Stars
45263,SX | BETMAX POKER,128,Suprema Union
32671,Mattar Club 2,106,Suprema
47655,EstrelaNegra,128,Suprema Union
25503,Club №6,111,Suprema EU
48120,ShowDown Poker ♠️,127,Suprema Peru
935693,CHICKEN VIPS,128,Suprema Union
49352,SX | Check Reza,128,Suprema Union
55770,DarkShadows,111,Suprema EU
39217,Duck Stars,106,Suprema
34290,Straight Poker,128,Suprema Union
54100,Pentacle,111,Suprema EU
55839,Golosa,111,Suprema EU
45731,LUCKY DRAW,111,Suprema EU
39176,SX | Sport Poker On,128,Suprema Union
42118,SX | Borja Poker,128,Suprema Union
53159,SX | AMETISTA POKER,128,Suprema Union
55642,Armenia Easy,111,Suprema EU
51864,Caipiroska  Poker,128,Suprema Union
48621,Cardinal,111,Suprema EU
56476,schrag,111,Suprema EU
49988,BG polo,128,Suprema Union
34672,Poker TurnRiver,128,Suprema Union
50685,Sevens Poker House,128,Suprema Union
49023,SUN’s Poker Club,128,Suprema Union
35048,SX | Hand for Hand,128,Suprema Union
12682,Ginger,111,Suprema EU
12007,Norteños PokerMX,136,Suprema Mexico
37882,Club Top Gun,106,Suprema
42631,Liga Promoções,128,Suprema Union
47082,SafePoker Superb,111,Suprema EU
42980,The Irish Poker,128,Suprema Union
29684,PokerMachine,111,Suprema EU
43140,Khujand,111,Suprema EU
39932,Buff,111,Suprema EU
48140,SX | RedBull Poker,128,Suprema Union
39970,SX | RAFAPOKER,128,Suprema Union
29103,RC Flash Pay,111,Suprema EU
1700532,UPC world,106,Suprema
36823,P2W Poker Club,128,Suprema Union
53699,Anonymus,204,Suprema Uruguai
43065,SX | NIX,128,Suprema Union
1371999,ChocoClub,135,Supreme Poker
36643,BUEN POKER �� 2,136,Suprema Mexico
53044,+BPT,128,Suprema Union
700700,♠️♥️ANY 2♦️♣️,180,???? HOME GAME ????
48668,SX | Grindy Poker,128,Suprema Union
52093,Bull House,136,Suprema Mexico
51288,MAGIC BOX - INDIA,202,Suprema India
43786,Amanitta Poker Clube,128,Suprema Union
43299,Poker.Boss,111,Suprema EU
50990,Coco Bongo Poker,128,Suprema Union
42862,Proxima,147,Suprema Colombia
52853,Kratos club,111,Suprema EU
39827,Poker Pensado,128,Suprema Union
52843,MonteCarloRoom,111,Suprema EU
44322,PokerHouse,128,Suprema Union
30980,SX | Royal Sorocaba,128,Suprema Union
52205,Sereia,111,Suprema EU
50470,SupFreeroll ADM,197,Suprema Freeroll
50488,SUP | FREEROLL 8,197,Suprema Freeroll
50487,SUP | FREEROLL 7,197,Suprema Freeroll
50486,SUP | FREEROLL 6,197,Suprema Freeroll
50485,SUP | FREEROLL 5,197,Suprema Freeroll
50483,SUP | FREEROLL 4,197,Suprema Freeroll
50482,SUP | FREEROLL 3,197,Suprema Freeroll
50481,SUP | FREEROLL 2,197,Suprema Freeroll
50480,SUP | FREEROLL,197,Suprema Freeroll
50952,ADRENALINE INTL.,199,Suprema ADR USD
50701,Admin URS,136,Suprema Mexico
51457,SX | ABST Poker,128,Suprema Union
49859,Rise Up,111,Suprema EU
49085,VPoker,132,Suprema Asia
20671,FAVOURITE,111,Suprema EU
48701,Lit Poker,128,Suprema Union
49653,BUNKЕR,111,Suprema EU
50920,Adrenalina USD ADM,199,Suprema ADR USD
17618,ALPHA,111,Suprema EU
19884,LATAM,111,Suprema EU
50705,Big Money ��,111,Suprema EU
33187,Jobet Poker Club 🃏,111,Suprema EU
43604,MOONSTAR CLUB,111,Suprema EU
